share_women,list_rank,reservation,female_leader,number_of_residents,per_capita_income_rupees,incorp_year,manufacturing_product_share,public_goods_number
.3022148,122,1,1,1864334,120485.7,1882,.0315439,6
.3029279,123,1,0,1636630,119501.5,1887,.0332587,2
.303095,124,1,0,1075239,120854.5,1883,.0417279,1
.3045526,125,1,0,432947,119090.3,1892,.044612,2
.3045672,126,1,1,435685,121423.3,1870,.0437021,5
.3051806,127,1,0,1752296,120125.2,1894,.0461692,2
.305299,128,1,0,1393964,119932.3,1877,.0441693,1
.306274,129,1,0,1349144,118967.7,1864,.0407456,2
.3074517,130,1,0,1586909,120509,1874,.0377314,0
.3078869,131,1,0,2230458,120311.6,1853,.0328791,2
.3080135,132,1,1,628665,119158.1,1880,.0398494,8
.3101395,133,1,0,1407237,121288.7,1887,.0363875,3
.3102075,134,1,0,2221645,122059.7,1862,.0440718,2
.3124007,135,1,1,2284074,119619,1892,.0345316,7
.3127805,136,1,1,1052769,118864.7,1875,.0409838,7
.3140306,137,1,0,704750,122089.2,1853,.045328,3
.3141449,138,1,0,1157658,120314.1,1874,.0427782,2
.3145725,139,1,0,1408803,120380.6,1866,.0404179,3
.3146146,140,1,1,1708826,119649.4,1892,.0400345,8
.3155078,141,1,0,1078436,119849.9,1851,.0425488,2
.3157117,142,1,0,1263091,118664.1,1870,.0569997,2
.3158716,143,1,1,1368683,120301.3,1867,.0492888,9
.3159878,144,1,0,1286990,119301.5,1869,.0425165,0
.3161792,145,1,0,1600557,119362.5,1885,.0479748,2
.3162661,146,1,1,856067,120999.6,1888,.0495448,7
.3166028,147,1,0,2109008,119385.8,1852,.0448796,3
.3171889,148,1,1,1718630,120598.1,1865,.037479,6
.3177504,149,1,1,1788130,120486,1853,.0349137,8
.3178249,150,1,0,1315722,118690,1880,.0538555,2
.3178584,151,1,1,1401261,120047,1859,.0535179,7
.3179089,152,1,1,2067218,120645.2,1888,.0464913,8
.3179806,153,1,1,1000868,119552.2,1869,.052794,8
.3180452,154,1,1,1109288,120322.7,1851,.0467896,8
.3183026,155,1,1,1902013,120038,1853,.0463754,6
.3184559,156,1,0,2054590,118979.3,1860,.0521127,4
.3187891,157,1,1,1159174,118877.7,1893,.0425728,7
.3188164,158,1,0,2439366,119720.7,1884,.0552889,1
.3188847,159,1,0,970650,120108.6,1864,.0518046,3
.3188971,160,1,1,1421846,118563.5,1873,.0522139,8
.3189801,161,1,0,1756564,120476.7,1886,.0523464,3
.3190253,162,1,0,1891576,120964.4,1875,.0518568,2
.319044,163,1,1,1925093,119855.6,1881,.0400037,5
.3194284,164,1,1,916372,118029.3,1870,.0407205,7
.3201408,165,1,0,1645349,120171.7,1852,.0435714,2
.3205249,166,1,0,1281857,119305.8,1864,.0527106,1
.3205272,167,1,0,324364,120147.5,1865,.0447619,2
.3206376,168,1,0,960393,120265.1,1872,.0505752,2
.3208489,169,1,0,1593039,119047.7,1878,.0586368,3
.3209502,170,1,0,2245805,119207.8,1856,.0531295,3
.3216152,171,1,1,1889536,120847.3,1876,.0578402,9
.3221155,172,1,0,1060280,121184.3,1873,.0525415,2
.3221601,173,1,0,1453010,120984.2,1888,.0546304,2
.3229707,174,1,0,1343347,120014.5,1883,.0540872,3
.3231607,175,1,1,925619,120233.9,1883,.0506731,5
.3233125,176,1,1,1730259,118978.6,1887,.0553311,8
.3236229,177,1,0,640047,119604.6,1886,.0520908,2
.3237091,178,1,1,1428723,119367.5,1875,.059688,7
.3241728,179,1,1,2027591,119593,1891,.0607928,6
.3246219,180,1,1,1371711,119819,1869,.0582025,7
.3248812,181,1,0,1056663,120734.6,1868,.0544998,3
.3249503,182,1,0,2658149,120879.7,1880,.0504652,2
.3250982,183,1,0,1825076,122102.6,1887,.0525912,2
.3255427,184,1,1,2275430,120578.5,1885,.0512562,7
.3255743,185,1,0,1437381,120690.7,1875,.0558205,2
.3256101,186,1,1,709404,117741.6,1885,.0557158,6
.3263829,187,1,1,1205410,120512.1,1875,.0570657,7
.3264565,188,1,1,2479819,120175.2,1864,.0614815,6
.3267104,189,1,0,1147128,119482.5,1868,.057817,2
.3269295,190,1,1,1687393,119624.6,1867,.0588935,7
.3273858,191,1,1,1253161,118836.6,1879,.0566531,7
.3276636,192,1,0,1206320,118234.2,1894,.0557788,2
.327909,193,1,0,2083249,120050.3,1857,.0474066,2
.3279865,194,1,1,1776771,118621.7,1872,.0636301,7
.3285123,195,1,0,1904516,119516.9,1889,.057301,2
.3288628,196,1,0,1754716,118544.4,1882,.0602738,2
.3292555,197,1,1,1106254,118573.1,1887,.0561769,5
.3292802,198,1,0,984129,119184.6,1894,.0495505,1
.3298872,199,1,1,1374846,119309,1859,.0558037,5
.3299614,200,1,0,1745177,119534.1,1894,.0474732,3
.33013,201,1,1,977458,119012,1886,.0577234,8
.3301548,202,1,0,2441584,120727.1,1890,.0595843,3
.3302924,203,1,0,1403213,119772.6,1883,.0704145,1
.3304508,204,1,0,1705012,122138.1,1879,.0737487,1
.3304567,205,1,1,1937577,120585.9,1873,.0654165,7
.3305143,206,1,0,1608342,119716,1852,.066533,3
.330834,207,1,0,1222654,120661.3,1885,.0619785,3
.3308502,208,1,0,1289162,120591.1,1884,.0584612,3
.3317342,209,1,1,1837184,119140.3,1854,.072306,6
.3321597,210,1,1,1398546,119482.2,1887,.0659371,8
.332221,211,1,0,1357337,119089.2,1855,.0660882,1
.3322441,212,1,0,1409833,119654.9,1860,.0590785,4
.332785,213,1,1,884668,119081.7,1866,.0591907,7
.3328846,214,1,0,2621559,120370.4,1886,.0692547,0
.3332203,215,1,0,1925830,120097.2,1885,.0627738,3
.3339575,216,1,1,1146427,119303.8,1852,.0658147,7
.3341893,217,1,0,2641350,121568.4,1885,.0635922,2
.3342879,218,1,0,1311191,120087.1,1892,.079929,2
.3346057,219,1,0,2048795,119321.2,1873,.0632681,2
.334751,220,1,1,1511394,120018.5,1881,.0601676,7
.3348319,221,1,1,2034574,119865.3,1885,.0603985,8
.3352647,222,1,0,1705844,120316.4,1855,.0585686,1
.3355695,223,1,1,1463452,120652.3,1877,.0647223,4
.3355903,224,1,0,1715397,119116.3,1860,.0682596,0
.3358574,225,1,1,2492026,120523.3,1869,.072905,8
.3360928,226,1,1,1644455,118703.6,1853,.0624026,7
.3362651,227,1,1,1094255,118036.9,1878,.0672486,6
.3364398,228,1,0,1563974,120400.9,1862,.0770804,3
.3364745,229,1,0,1991245,119948.1,1879,.066072,2
.3364873,230,1,0,2213666,120144.2,1887,.0763304,1
.3364992,231,1,0,1434611,120264,1887,.0711184,4
.3365928,232,1,0,1295612,119326.5,1885,.0677352,2
.3368742,233,1,1,1268480,120725.2,1876,.0662258,8
.3370743,234,1,0,1005655,120154.2,1883,.0709791,2
.3370845,235,1,0,2571553,118881,1887,.0646905,2
.337469,236,1,0,2442113,118006.5,1890,.0701249,2
.3375233,237,1,0,1248060,118150.5,1853,.0770078,1
.3375564,238,1,0,1918697,120037.6,1895,.0655746,2
.3376439,239,1,1,847199,117681.8,1891,.0718334,8
.3378078,240,1,1,1679140,119567.7,1853,.071091,8
.3382081,241,1,0,1765026,120005.1,1860,.065732,2
.3382663,242,1,1,2660438,119769.9,1891,.0816572,6
.3383478,243,1,1,1918892,117701.8,1884,.0627644,7
.3384887,244,1,0,1897934,120937.2,1860,.0846924,2
.3386512,245,1,0,1821543,119983,1854,.0707089,0
.3387226,246,1,1,966420,118817.5,1894,.0734713,7
.3387915,247,1,1,2010711,122089.7,1869,.0692122,6
.3392933,248,1,1,2173926,120394.6,1858,.0797122,7
.3394481,249,1,0,1168391,118209.2,1880,.0750486,1
.3394977,250,1,0,1446203,119313.2,1881,.0700614,4
.3396121,251,1,1,2281267,119165,1885,.0722308,7
.339663,252,1,1,1690181,118539.8,1861,.079462,9
.3399303,253,1,1,1479962,118877,1881,.0724558,8
.3401526,254,1,0,2367424,120180.8,1855,.0736768,2
.3405445,255,1,1,742250,120204,1893,.0776291,7
.3406489,256,1,1,1458533,119405.3,1860,.078897,7
.3410676,257,1,1,1173365,119658.3,1860,.071494,7
.3412622,258,1,0,1031686,119795.6,1862,.0762633,1
.3414749,259,1,1,2242097,120733.1,1856,.0628763,7
.3415294,260,1,1,199058,119131.8,1873,.0763515,7
.3417224,261,1,1,1363157,118603.6,1873,.0710586,8
.3419768,262,1,0,1000187,121481.7,1872,.0826319,1
.3420443,263,1,0,1914914,120852.1,1856,.0845156,3
.3420579,264,1,0,2554564,117789.9,1867,.0783948,3
.3420609,265,1,1,1000896,120107,1861,.0761272,7
.3424219,266,1,1,1304158,118898.2,1893,.0751139,8
.3425056,267,1,0,720611,120133.8,1885,.0807185,1
.3426604,268,1,1,1754017,119983.9,1851,.0852493,8
.3426844,269,1,1,711331,116302.9,1861,.0816103,6
.3430531,270,1,1,2155110,118403.6,1895,.0880423,6
.3432649,271,1,0,1413125,118654.1,1876,.0817469,2
.3436087,272,1,0,841758,119481.7,1857,.0737373,2
.3438511,273,1,0,1101747,119297.3,1853,.084226,1
.3439428,274,1,1,1452002,118872.6,1887,.0836233,6
.3440348,275,1,0,2230722,118171.5,1865,.0801855,-1
.3440801,276,1,0,1728503,120197.7,1869,.0771185,2
.3443304,277,1,1,352358,120028.6,1857,.0804471,6
.3444558,278,1,0,2350306,121573.3,1870,.0831256,1
.344944,279,1,1,1762161,119659,1855,.083027,7
.3449475,280,1,0,1589296,120382.3,1876,.0884644,2
.3449602,281,1,0,1013579,119399.9,1858,.0844825,3
.3452361,282,1,1,1957343,119727.6,1867,.0882248,6
.3453624,283,1,0,1620843,120234.4,1881,.0898111,2
.3453991,284,1,0,2106120,119651.8,1861,.0849401,2
.3454135,285,1,0,1232323,120984.9,1863,.0836868,2
.3455707,286,1,1,1873940,119025.3,1890,.0869576,6
.3458374,287,1,1,948884,119697,1876,.0820934,5
.3458565,288,1,1,1000956,118746.7,1892,.0886287,7
.3460237,289,1,1,625393,117664,1884,.0901944,6
.346098,290,1,1,1139426,117984,1875,.0758062,7
.3461658,291,1,1,933310,119809.3,1855,.0770458,7
.3461944,292,1,0,978874,121166.5,1856,.0935215,3
.346297,293,1,0,2380564,118935.1,1874,.0808549,2
.3463413,294,1,1,1002110,117845.9,1867,.0917973,8
.3464619,295,1,1,940678,119862.5,1893,.0894689,8
.3466913,296,1,1,1059502,119270.1,1887,.0853566,6
.3469839,297,1,0,760178,120265.8,1884,.0880082,3
.3470961,298,1,0,1751958,120073.1,1865,.0849589,0
.3472065,299,1,0,1546590,118301.8,1853,.0871392,2
.3473856,300,1,1,1037105,118132.5,1861,.0925733,6
.3478359,301,1,1,1196621,119331.2,1861,.0934124,6
.3482086,302,1,0,1652951,119856.9,1879,.0948065,2
.3482443,303,1,1,1579387,118516.8,1870,.0916895,6
.3482894,304,1,0,1555750,119309.4,1856,.0959728,2
.3483299,305,1,1,1345126,118487.3,1880,.0922795,8
.3484075,306,1,1,2139941,118347,1856,.0883031,8
.3485164,307,1,0,1639220,119623.2,1873,.1006728,2
.3490264,308,1,1,1228207,119225.6,1869,.090337,8
.3490518,309,1,0,1925715,119241.8,1874,.0910703,2
.349144,310,1,0,1564399,120838.4,1894,.0973255,1
.3491637,311,1,1,999246,118066.9,1882,.0906488,9
.349533,312,1,1,1555310,120386.8,1862,.1024878,7
.3496126,313,1,0,1499452,118473.4,1862,.0956249,1
.3496328,314,1,1,462417,117628.6,1856,.0952016,8
.3497615,315,1,1,1012481,119119.1,1867,.0913921,6
.3501476,316,1,1,1161675,119924.4,1889,.0933789,6
.3501534,317,1,1,1204411,118224,1857,.0948187,6
.350371,318,1,1,1304299,119585.3,1872,.0904605,7
.3504083,319,1,0,1142145,120179.2,1883,.0916968,1
.3504682,320,1,1,1305890,119703.5,1891,.0883742,8
.3504803,321,1,0,1815559,118041.4,1856,.1046662,2
.3505044,322,1,1,2062124,120010.7,1866,.1007655,8
.3509414,323,1,0,1738886,119868.2,1855,.1003958,1
.350956,324,1,1,1145602,121166.8,1883,.0910826,6
.3510238,325,1,0,1245340,119464.1,1875,.0984752,4
.3511277,326,1,1,1683849,120949.3,1879,.0935633,6
.3514529,327,1,0,917431,120857.2,1885,.0998887,2
.3514801,328,1,1,1492726,117278,1869,.0999284,7
.3521679,329,1,1,1266784,119301.5,1890,.0997873,6
.3524045,330,1,0,1654447,119481.5,1893,.095673,2
.3524289,331,1,1,1389859,119174.2,1852,.1051508,5
.3528779,332,1,1,2180876,119993,1869,.0988768,8
.3529789,333,1,1,2461763,118064.1,1865,.1031407,6
.3530138,334,1,0,618242,118409.8,1855,.095993,0
.3530271,335,1,0,1408981,119607.6,1878,.1075792,1
.3530712,336,1,0,1489187,122277.9,1872,.0975132,3
.3531849,337,1,1,2266255,118734,1864,.1018919,8
.353282,338,1,1,1613542,121521.1,1871,.1013122,6
.3532849,339,1,1,1205234,119669.7,1877,.1038867,7
.3535197,340,1,0,1394675,119273.9,1895,.091513,3
.3535912,341,1,0,1371724,119998.9,1890,.0962037,2
.3536475,342,1,0,1266023,120625.4,1861,.1111732,3
.3539322,343,1,1,1638060,118573.1,1865,.1064004,8
.3541749,344,1,1,1312527,119815.8,1874,.1024962,5
.3541944,345,1,0,940840,119049.5,1860,.1045012,3
.354235,346,1,0,1675405,118999.2,1864,.1077186,1
.3542778,347,1,0,1450095,119126.5,1865,.1013842,1
.3547103,348,1,0,1841124,118736.5,1869,.1029969,4
.3547397,349,1,0,1076154,119548.3,1870,.100018,3
.3547857,350,1,0,1433702,120036.1,1869,.0969472,2
.3548474,351,1,0,1677144,119847.3,1877,.1046755,2
.354887,352,1,1,1519071,117563.1,1884,.1105303,6
.3550628,353,1,1,1462419,119574.8,1854,.0996865,7
.3553777,354,1,1,2292642,120743.7,1863,.1046317,7
.3554685,355,1,0,1589097,118002.1,1894,.1065899,2
.3556087,356,1,0,1566469,118352.4,1886,.1067105,3
.3556701,357,1,1,1298395,119794.9,1866,.0964321,6
.3558479,358,1,0,1348537,118956.4,1871,.0973802,3
.3558586,359,1,0,1865220,119190.5,1885,.1085265,2
.3558615,360,1,1,1364188,120941.1,1861,.1038388,6
.3560455,361,1,0,1568773,121671,1867,.0994368,3
.356113,362,1,0,1117783,119369.7,1864,.1036012,1
.3562958,363,1,1,1147983,119366.5,1869,.1010562,7
.3565605,364,1,1,-24752,119975.6,1870,.1015192,7
.3566307,365,1,0,344810,121755.5,1874,.1064399,2
.3567578,366,1,0,1121620,120057.4,1880,.1117493,3
.3568272,367,1,1,1564333,119135.6,1854,.1072141,7
.3568544,368,1,0,1212333,118337.9,1859,.1096922,2
.3569047,369,1,0,1886931,120679.4,1863,.1180397,4
.3569868,370,1,1,1446201,119526.5,1889,.1144971,6
.3569893,371,1,0,2277276,119320.6,1890,.1082957,1
.357011,372,1,0,1909122,119173.8,1869,.1019672,1
.3570623,373,1,0,1081821,120262.7,1892,.1073942,2
.3573455,374,1,0,1424778,117983.7,1850,.1075437,3
.3573563,375,1,1,1202111,119824.9,1862,.1164888,6
.3574187,376,1,1,2045830,119732,1882,.1144226,6
.3574289,377,1,0,1166407,117528.5,1884,.1107235,2
.3574457,378,1,1,2269858,118630.5,1889,.1165426,7
.3574966,379,1,0,1795191,118843,1870,.1078007,1
.3577229,380,1,0,982141,119000.4,1882,.1146681,5
.3578422,381,1,1,1509042,118962.2,1878,.1128672,7
.3580955,382,1,0,1333049,118614.3,1882,.1073149,3
.3583008,383,1,0,1595982,120030.7,1860,.1179831,2
.358383,384,1,1,1274549,118942.2,1864,.1150334,5
.3587138,385,1,0,1883472,118899.2,1860,.1142847,2
.359408,386,1,0,1890711,117903.2,1893,.1098476,2
.3595437,387,1,1,1010002,119554.7,1864,.1215167,7
.3595657,388,1,0,1705641,118140.1,1882,.1112552,1
.3597685,389,1,0,1751911,118396.1,1863,.1171442,3
.3597709,390,1,1,1692468,118778.1,1853,.1173076,6
.3598222,391,1,1,622033,118750.7,1875,.1184972,7
.3598622,392,1,1,1340139,118132.4,1863,.122192,7
.3599505,393,1,1,1408869,120763.4,1878,.1101498,7
.360065,394,1,1,2693160,116382,1890,.1206839,7
.3600771,395,1,1,1909930,118765.4,1857,.1200184,6
.3600789,396,1,0,1370603,118384.1,1879,.122842,3
.3601837,397,1,1,1492287,119016.6,1874,.1205464,9
.360232,398,1,0,1575310,118045.1,1891,.1227988,3
.3602427,399,1,0,724997,118565.3,1891,.1085181,2
.3603058,400,1,1,1061643,116338.8,1851,.1186621,6
.3604437,401,1,1,1145541,118071.9,1884,.1280684,7
.3604932,402,1,1,2028846,119466.2,1873,.1136601,8
.3604979,403,1,0,1780124,119452.9,1881,.1275888,3
.3605105,404,1,0,1324181,117851.7,1873,.1243585,2
.3605953,405,1,0,1789740,118806.1,1865,.120677,4
.3607149,406,1,0,676351,118314.1,1863,.1172325,2
.361536,407,1,0,1645683,119593.4,1870,.1279622,3
.3618135,408,1,1,2400693,119206.4,1864,.1261936,7
.3618442,409,1,1,963822,117762.6,1865,.1253899,8
.3618922,410,1,0,869399,119813.7,1881,.1254811,1
.3619014,411,1,0,397737,117278.9,1866,.1232717,2
.3619151,412,1,0,1363415,119616.9,1875,.1250115,3
.3620054,413,1,1,1194241,118289,1887,.1232252,6
.362064,414,1,0,1724203,119905.2,1893,.1222561,2
.3622486,415,1,1,929962,118947.1,1855,.1197786,9
.3623676,416,1,0,2003458,117379.4,1854,.1202206,1
.3626575,417,1,1,1016060,119247.3,1876,.1287242,8
.3627435,418,1,1,2399461,118405.4,1891,.1405693,7
.362965,419,1,0,1337703,119719.3,1869,.137238,2
.3630703,420,1,0,1436764,119348.4,1860,.1295391,2
.3632028,421,1,0,1232852,118079.6,1858,.1355531,4
.3633513,422,1,1,1161708,119014.8,1874,.1103209,7
.3633608,423,1,1,1123623,118984.2,1862,.1247901,8
.3634739,424,1,1,1884106,117666.6,1871,.1300911,9
.3636708,425,1,1,1477265,119015.9,1853,.1245894,6
.363737,426,1,0,1117116,119641.9,1867,.1269035,2
.3637502,427,1,1,1522234,119245.6,1858,.1301043,7
.3638262,428,1,0,1452178,118121.8,1883,.1282102,2
.3638315,429,1,0,1244411,119141.9,1890,.1227536,2
.3638827,430,1,0,1186167,119697.6,1865,.1265705,3
.3640279,431,1,1,1360242,120564.3,1885,.1309458,6
.3640305,432,1,1,1408683,118658.8,1862,.1296163,8
.3640377,433,1,0,1444348,118881.7,1852,.1267631,2
.3641782,434,1,1,1360823,118502.7,1887,.1378939,7
.3643321,435,1,0,1737725,118742,1864,.1272141,1
.3643499,436,1,1,1656943,117998,1855,.1286378,6
.3646311,437,1,0,1628810,118378.5,1885,.1258301,2
.36489,438,1,0,1652188,118994.3,1885,.1298846,3
.3649772,439,1,0,1280533,118404.4,1881,.1329692,2
.3649904,440,1,0,2096258,119158.6,1886,.1267114,1
.3651596,441,1,1,1552926,118640.7,1884,.1256587,6
.3654797,442,1,0,963671,117245.8,1860,.123675,1
.3654929,443,1,1,1907225,119816.1,1860,.1244249,8
.3657448,444,1,0,1338402,118792.8,1892,.1419399,2
.365782,445,1,1,2210661,119810.4,1857,.1214592,7
.3662144,446,1,0,935099,118413.4,1862,.1359582,2
.366286,447,1,0,1782129,120161.6,1877,.134427,2
.3663955,448,1,1,1129687,117744.8,1852,.1334663,7
.3665139,449,1,1,1663407,118765.3,1871,.1309587,5
.366586,450,1,1,2345179,118612.9,1885,.1331186,8
.3667198,451,1,1,1592478,119476.3,1863,.1347548,7
.3668047,452,1,0,1810187,117676.7,1861,.1344906,3
.3669839,453,1,1,2262323,117855.3,1870,.1329415,8
.3670441,454,1,1,1710483,118551.8,1885,.138583,5
.3670667,455,1,0,1266693,120510,1852,.1395621,2
.3670871,456,1,0,1661446,119494.2,1893,.136251,2
.367114,457,1,0,1891393,118836.6,1877,.13696,2
.367189,458,1,1,1918773,119268.3,1866,.1378797,8
.3673572,459,1,0,2534881,119433.1,1879,.1392508,2
.3674563,460,1,0,2261852,119801.5,1853,.142103,4
.3674733,461,1,0,1139129,117266.6,1862,.1368252,2
.3676561,462,1,1,455796,119886.5,1856,.1450897,8
.3676572,463,1,0,1560892,119563.8,1850,.1446833,3
.3676825,464,1,1,1919625,118585.9,1860,.1395902,8
.3679243,465,1,0,1906912,118305.5,1852,.1424309,1
.3680544,466,1,0,1289787,119773.1,1874,.1378199,2
.368129,467,1,0,1592560,118653.5,1867,.1349908,1
.3682533,468,1,0,917710,119389.4,1857,.1506829,2
.3687074,469,1,0,1738467,119669.1,1886,.1386622,2
.3687168,470,1,0,1432185,119321,1890,.1431441,4
.3689623,471,1,1,1724622,118791.4,1856,.1369605,8
.3690025,472,1,1,2121144,118864.8,1883,.1429826,7
.3690729,473,1,0,259717,119462.4,1870,.1358948,2
.3691379,474,1,0,1571763,119068.4,1887,.1457911,1
.3694254,475,1,0,1711006,119044.1,1880,.1411243,3
.3694985,476,1,0,1240287,117850.2,1859,.1360654,2
.3696835,477,1,0,1484802,119904,1876,.1461475,2
