"","year","hh_id","ev_purchase_year","electricity_use","treat","post"
"194",2013,18,NA,-311.1483,0,1
"195",2014,18,NA,-53.3606,0,1
"196",2015,18,NA,-586.7894,0,1
"197",2016,18,NA,-1079.126,0,1
"198",2017,18,NA,-1038.908,0,1
"199",2007,19,NA,1010.279,0,0
"200",2008,19,NA,879.9207,0,0
"201",2009,19,NA,1054.888,0,0
"202",2010,19,NA,930.5762,0,0
"203",2011,19,NA,205.3304,0,0
"204",2012,19,NA,405.4053,0,0
"205",2013,19,NA,-141.8331,0,1
"206",2014,19,NA,-87.98096,0,1
"207",2015,19,NA,-643.6788,0,1
"208",2016,19,NA,-1173.469,0,1
"209",2017,19,NA,-768.9497,0,1
"210",2007,20,NA,1136.667,0,0
"211",2008,20,NA,657.569,0,0
"212",2009,20,NA,1258.276,0,0
"213",2010,20,NA,908.7073,0,0
"214",2011,20,NA,-54.26221,0,0
"215",2012,20,NA,372.5864,0,0
"216",2013,20,NA,-283.4578,0,1
"217",2014,20,NA,-154.1006,0,1
"218",2015,20,NA,-515.7759,0,1
"219",2016,20,NA,-1140.382,0,1
"220",2017,20,NA,-956.5449,0,1
"221",2007,21,NA,965.9438,0,0
"222",2008,21,NA,653.9873,0,0
"223",2009,21,NA,981.2253,0,0
"224",2010,21,NA,889.9458,0,0
"225",2011,21,NA,147.5798,0,0
"226",2012,21,NA,406.9409,0,0
"227",2013,21,NA,-296.5972,0,1
"228",2014,21,NA,-275.9808,0,1
"229",2015,21,NA,-563.8252,0,1
"230",2016,21,NA,-1062.488,0,1
"231",2017,21,NA,-1055.909,0,1
"232",2007,22,NA,985.9324,0,0
"233",2008,22,NA,928.5146,0,0
"234",2009,22,NA,1204.371,0,0
"235",2010,22,NA,880.6875,0,0
"236",2011,22,NA,9.737305,0,0
"237",2012,22,NA,510.7041,0,0
"238",2013,22,NA,-211.2262,0,1
"239",2014,22,NA,-6.536621,0,1
"240",2015,22,NA,-548.2924,0,1
"241",2016,22,NA,-1219,0,1
"242",2017,22,NA,-1029.08,0,1
"243",2007,23,NA,891.2617,0,0
"244",2008,23,NA,800.366,0,0
"245",2009,23,NA,914.8734,0,0
"246",2010,23,NA,795.5535,0,0
"247",2011,23,NA,-41.81091,0,0
"248",2012,23,NA,484.4819,0,0
"249",2013,23,NA,-262.6742,0,1
"250",2014,23,NA,36.198,0,1
"251",2015,23,NA,-306.2134,0,1
"252",2016,23,NA,-1038.3,0,1
"253",2017,23,NA,-915.4197,0,1
"254",2007,24,NA,954.4164,0,0
"255",2008,24,NA,1101.613,0,0
"256",2009,24,NA,1154.869,0,0
"257",2010,24,NA,691.0221,0,0
"258",2011,24,NA,144.9077,0,0
"259",2012,24,NA,544.8057,0,0
"260",2013,24,NA,-237.7513,0,1
"261",2014,24,NA,-114.7554,0,1
"262",2015,24,NA,-532.1205,0,1
"263",2016,24,NA,-1217.113,0,1
"264",2017,24,NA,-831.2349,0,1
"265",2007,25,NA,1114.209,0,0
"266",2008,25,NA,793.1163,0,0
"267",2009,25,NA,1078.111,0,0
"268",2010,25,NA,852.052,0,0
"269",2011,25,NA,19.51306,0,0
"270",2012,25,NA,369.6802,0,0
"271",2013,25,NA,-413.4081,0,1
"272",2014,25,NA,-189.595,0,1
"273",2015,25,NA,-637.2648,0,1
"274",2016,25,NA,-944.0229,0,1
"275",2017,25,NA,-964.7572,0,1
"276",2007,26,NA,900.3453,0,0
"277",2008,26,NA,928.3348,0,0
"278",2009,26,NA,1029.819,0,0
"279",2010,26,NA,985.3472,0,0
"280",2011,26,NA,-134.3397,0,0
"281",2012,26,NA,398.2153,0,0
"282",2013,26,NA,-341.1853,0,1
"283",2014,26,NA,35.99927,0,1
"284",2015,26,NA,-458.0341,0,1
"285",2016,26,NA,-1098.82,0,1
"286",2017,26,NA,-1172.347,0,1
"287",2007,27,NA,904.2244,0,0
"288",2008,27,NA,838.5101,0,0
"289",2009,27,NA,1068.562,0,0
"290",2010,27,NA,794.3578,0,0
"291",2011,27,NA,121.9735,0,0
"292",2012,27,NA,245.3539,0,0
"293",2013,27,NA,-239.5964,0,1
"294",2014,27,NA,-183.584,0,1
"295",2015,27,NA,-571.6444,0,1
"296",2016,27,NA,-984.5475,0,1
"297",2017,27,NA,-982.6698,0,1
"298",2007,28,NA,987.1013,0,0
"299",2008,28,NA,889.5474,0,0
"300",2009,28,NA,1178.613,0,0
"301",2010,28,NA,758.417,0,0
"302",2011,28,NA,-60.51135,0,0
"303",2012,28,NA,243.6631,0,0
"304",2013,28,NA,-442.9313,0,1
"305",2014,28,NA,-369.0627,0,1
"306",2015,28,NA,-523.1344,0,1
"307",2016,28,NA,-1227.972,0,1
"308",2017,28,NA,-1047.651,0,1
"309",2007,29,NA,986.1592,0,0
"310",2008,29,NA,867.1122,0,0
"311",2009,29,NA,1285.734,0,0
"312",2010,29,NA,866.5684,0,0
"313",2011,29,NA,43.60779,0,0
"314",2012,29,NA,518.3894,0,0
"315",2013,29,NA,-329.2437,0,1
"316",2014,29,NA,-160.2847,0,1
"317",2015,29,NA,-516.5376,0,1
"318",2016,29,NA,-1088.645,0,1
"319",2017,29,NA,-1005.339,0,1
"320",2007,30,NA,988.8433,0,0
"321",2008,30,NA,947.7529,0,0
"322",2009,30,NA,1040.232,0,0
"323",2010,30,NA,862.1484,0,0
"324",2011,30,NA,91.23706,0,0
"325",2012,30,NA,381.6475,0,0
"326",2013,30,NA,-389.9955,0,1
"327",2014,30,NA,-265.9841,0,1
"328",2015,30,NA,-546.3485,0,1
"329",2016,30,NA,-1168.014,0,1
"330",2017,30,NA,-1117.62,0,1
"331",2007,31,NA,1069.258,0,0
"332",2008,31,NA,846.4011,0,0
"333",2009,31,NA,971.3074,0,0
"334",2010,31,NA,878.6506,0,0
"335",2011,31,NA,-117.7544,0,0
"336",2012,31,NA,448.7632,0,0
"337",2013,31,NA,-364.9476,0,1
"338",2014,31,NA,-60.26611,0,1
"339",2015,31,NA,-645.5089,0,1
"340",2016,31,NA,-1035.614,0,1
"341",2017,31,NA,-972.1912,0,1
"342",2007,32,NA,1194.916,0,0
"343",2008,32,NA,1118.721,0,0
"344",2009,32,NA,1042,0,0
"345",2010,32,NA,778.0181,0,0
"346",2011,32,NA,125.4749,0,0
"347",2012,32,NA,385.1292,0,0
"348",2013,32,NA,-267.9138,0,1
"349",2014,32,NA,-257.2246,0,1
"350",2015,32,NA,-327.1035,0,1
"351",2016,32,NA,-1098.375,0,1
"352",2017,32,NA,-1055.37,0,1
"353",2007,33,NA,1044.201,0,0
"354",2008,33,NA,1059.45,0,0
"355",2009,33,NA,1087,0,0
"356",2010,33,NA,704.8434,0,0
"357",2011,33,NA,-56.71497,0,0
"358",2012,33,NA,355.0942,0,0
"359",2013,33,NA,-185.3445,0,1
"360",2014,33,NA,-250.6241,0,1
"361",2015,33,NA,-607.322,0,1
"362",2016,33,NA,-1058.899,0,1
"363",2017,33,NA,-760.6506,0,1
"364",2007,34,NA,1154.255,0,0
"365",2008,34,NA,637.4161,0,0
"366",2009,34,NA,1180.633,0,0
"367",2010,34,NA,834.4863,0,0
"368",2011,34,NA,300.384,0,0
"369",2012,34,NA,243.1644,0,0
"370",2013,34,NA,-265.1805,0,1
"371",2014,34,NA,-346.4951,0,1
"372",2015,34,NA,-605.3563,0,1
"373",2016,34,NA,-1013.245,0,1
"374",2017,34,NA,-999.2255,0,1
"375",2007,35,NA,1141.114,0,0
"376",2008,35,NA,769.7122,0,0
"377",2009,35,NA,1229.475,0,0
"378",2010,35,NA,812.4995,0,0
"379",2011,35,NA,319.2561,0,0
"380",2012,35,NA,472.7971,0,0
"381",2013,35,NA,-124.5908,0,1
"382",2014,35,NA,-243.3887,0,1
"383",2015,35,NA,-508.8146,0,1
"384",2016,35,NA,-1157.014,0,1
"385",2017,35,NA,-914.894,0,1
"386",2007,36,NA,978.9537,0,0
"387",2008,36,NA,906.2334,0,0
"388",2009,36,NA,1310.92,0,0
"389",2010,36,NA,939.3042,0,0
"390",2011,36,NA,330.1553,0,0
"391",2012,36,NA,335.7134,0,0
"392",2013,36,NA,-364.726,0,1
"393",2014,36,NA,-305.5529,0,1
"394",2015,36,NA,-424.2612,0,1
"395",2016,36,NA,-1142.489,0,1
"396",2017,36,NA,-891.197,0,1
"397",2007,37,NA,901.3733,0,0
"398",2008,37,NA,664.7471,0,0
"399",2009,37,NA,1199.024,0,0
"400",2010,37,NA,1026.247,0,0
"401",2011,37,NA,-76.50818,0,0
"402",2012,37,NA,588.9131,0,0
"403",2013,37,NA,-333.1959,0,1
"404",2014,37,NA,-346.0774,0,1
"405",2015,37,NA,-451.8965,0,1
"406",2016,37,NA,-1219.403,0,1
"407",2017,37,NA,-921.04,0,1
"408",2007,38,NA,954.6517,0,0
"409",2008,38,NA,838.9919,0,0
"410",2009,38,NA,995.2756,0,0
"411",2010,38,NA,730.3639,0,0
"412",2011,38,NA,335.4675,0,0
"413",2012,38,NA,400.4321,0,0
"414",2013,38,NA,-194.5908,0,1
"415",2014,38,NA,-164.4009,0,1
"416",2015,38,NA,-576.1414,0,1
"417",2016,38,NA,-1079.663,0,1
"418",2017,38,NA,-1105.76,0,1
"419",2007,39,NA,1008.286,0,0
"420",2008,39,NA,709.3235,0,0
"421",2009,39,NA,1161.872,0,0
"422",2010,39,NA,592.3097,0,0
"423",2011,39,NA,101.1635,0,0
"424",2012,39,NA,174.2767,0,0
"425",2013,39,NA,-512.3881,0,1
"426",2014,39,NA,-158.4341,0,1
"427",2015,39,NA,-398.3062,0,1
"428",2016,39,NA,-1102.876,0,1
"429",2017,39,NA,-916.4355,0,1
"430",2007,40,NA,1022.08,0,0
"431",2008,40,NA,987.603,0,0
"432",2009,40,NA,1147.816,0,0
"433",2010,40,NA,754.5264,0,0
"434",2011,40,NA,-21.80603,0,0
"435",2012,40,NA,402.2002,0,0
"436",2013,40,NA,-367.28,0,1
"437",2014,40,NA,-264.7578,0,1
"438",2015,40,NA,-526.8732,0,1
"439",2016,40,NA,-934.3149,0,1
"440",2017,40,NA,-1024.337,0,1
"441",2007,41,NA,930.3014,0,0
"442",2008,41,NA,966.3766,0,0
"443",2009,41,NA,1174.677,0,0
"444",2010,41,NA,749.9086,0,0
"445",2011,41,NA,56.64563,0,0
"446",2012,41,NA,485.1406,0,0
"447",2013,41,NA,-364.0531,0,1
"448",2014,41,NA,-245.7623,0,1
"449",2015,41,NA,-572.9033,0,1
"450",2016,41,NA,-1111.203,0,1
"451",2017,41,NA,-1009.976,0,1
"452",2007,42,NA,1087.242,0,0
"453",2008,42,NA,861.7844,0,0
"454",2009,42,NA,1123.036,0,0
"455",2010,42,NA,888.1235,0,0
"456",2011,42,NA,-164.3032,0,0
"457",2012,42,NA,430.2124,0,0
"458",2013,42,NA,-520.0891,0,1
"459",2014,42,NA,-175.2002,0,1
"460",2015,42,NA,-665.3699,0,1
"461",2016,42,NA,-1198.792,0,1
"462",2017,42,NA,-1003.838,0,1
"463",2007,43,NA,1088.494,0,0
"464",2008,43,NA,893.4407,0,0
"465",2009,43,NA,911.2275,0,0
"466",2010,43,NA,802.7595,0,0
"467",2011,43,NA,-31.88892,0,0
"468",2012,43,NA,251.7852,0,0
"469",2013,43,NA,-439.1385,0,1
"470",2014,43,NA,-3.020264,0,1
"471",2015,43,NA,-628.7996,0,1
"472",2016,43,NA,-1234.446,0,1
"473",2017,43,NA,-928.0823,0,1
"474",2007,44,NA,973.5349,0,0
"475",2008,44,NA,818.4768,0,0
"476",2009,44,NA,1254.504,0,0
"477",2010,44,NA,934.3081,0,0
"478",2011,44,NA,77.23523,0,0
"479",2012,44,NA,434.2905,0,0
"480",2013,44,NA,-345.9713,0,1
"481",2014,44,NA,-20.26123,0,1
"482",2015,44,NA,-428.7041,0,1
"483",2016,44,NA,-1156.177,0,1
"484",2017,44,NA,-994.0583,0,1
"485",2007,45,NA,942.5986,0,0
"486",2008,45,NA,718.6326,0,0
"487",2009,45,NA,1108.739,0,0
"488",2010,45,NA,922.6572,0,0
"489",2011,45,NA,51.0708,0,0
"490",2012,45,NA,527.3818,0,0
"491",2013,45,NA,-253.0623,0,1
"492",2014,45,NA,-249.5271,0,1
"493",2015,45,NA,-724.4772,0,1
"494",2016,45,NA,-1047.4,0,1
"495",2017,45,NA,-1033.511,0,1
"496",2007,46,NA,947.1313,0,0
"497",2008,46,NA,850.4626,0,0
"498",2009,46,NA,1399.536,0,0
"499",2010,46,NA,826.0732,0,0
"500",2011,46,NA,133.8856,0,0
"501",2012,46,NA,388.6917,0,0
"502",2013,46,NA,-549.3671,0,1
"503",2014,46,NA,-160.1699,0,1
"504",2015,46,NA,-526.7555,0,1
"505",2016,46,NA,-1221.189,0,1
"506",2017,46,NA,-1074.818,0,1
"507",2007,47,NA,1034.44,0,0
"508",2008,47,NA,899.1113,0,0
"509",2009,47,NA,1110.805,0,0
"510",2010,47,NA,902.0415,0,0
"511",2011,47,NA,102.6013,0,0
"512",2012,47,NA,350.0898,0,0
"513",2013,47,NA,-374.6656,0,1
"514",2014,47,NA,-141.7344,0,1
"515",2015,47,NA,-418.7046,0,1
"516",2016,47,NA,-1134.811,0,1
"517",2017,47,NA,-851.3838,0,1
"518",2007,48,NA,1080.385,0,0
"519",2008,48,NA,782.5637,0,0
"520",2009,48,NA,1144.604,0,0
"521",2010,48,NA,747.1976,0,0
"522",2011,48,NA,-179.0356,0,0
"523",2012,48,NA,255.1401,0,0
"524",2013,48,NA,-165.8938,0,1
"525",2014,48,NA,-186.5413,0,1
"526",2015,48,NA,-497.7448,0,1
"527",2016,48,NA,-1142.25,0,1
"528",2017,48,NA,-889.0923,0,1
"529",2007,49,NA,948.5736,0,0
"530",2008,49,NA,794.1198,0,0
"531",2009,49,NA,1135.578,0,0
"532",2010,49,NA,930.6426,0,0
"533",2011,49,NA,86.34558,0,0
"534",2012,49,NA,538.2354,0,0
"535",2013,49,NA,-231.153,0,1
"536",2014,49,NA,-214.9318,0,1
"537",2015,49,NA,-489.6545,0,1
"538",2016,49,NA,-1126.423,0,1
"539",2017,49,NA,-1093.342,0,1
"540",2007,50,NA,888.2452,0,0
"541",2008,50,NA,752.2798,0,0
"542",2009,50,NA,1177.362,0,0
"543",2010,50,NA,845.2305,0,0
"544",2011,50,NA,3.147705,0,0
"545",2012,50,NA,409.4346,0,0
"546",2013,50,NA,-430.1185,0,1
"547",2014,50,NA,-80.34424,0,1
"548",2015,50,NA,-518.8026,0,1
"549",2016,50,NA,-1080.235,0,1
"550",2017,50,NA,-910.3552,0,1
"551",2007,51,NA,1076.231,0,0
"552",2008,51,NA,877.5814,0,0
"553",2009,51,NA,1107.896,0,0
"554",2010,51,NA,684.108,0,0
"555",2011,51,NA,47.78235,0,0
"556",2012,51,NA,403.0239,0,0
"557",2013,51,NA,-368.104,0,1
"558",2014,51,NA,-131.7415,0,1
"559",2015,51,NA,-614.0159,0,1
"560",2016,51,NA,-1138.786,0,1
"561",2017,51,NA,-966.6582,0,1
"562",2007,52,NA,1015.714,0,0
"563",2008,52,NA,787.1486,0,0
"564",2009,52,NA,1176.011,0,0
"565",2010,52,NA,920.2073,0,0
"566",2011,52,NA,62.00513,0,0
"567",2012,52,NA,404.7363,0,0
"568",2013,52,NA,-326.3468,0,1
"569",2014,52,NA,136.6619,0,1
"570",2015,52,NA,-479.4342,0,1
"571",2016,52,NA,-1105.962,0,1
"572",2017,52,NA,-1000.979,0,1
"573",2007,53,NA,1136.342,0,0
"574",2008,53,NA,838.3203,0,0
"575",2009,53,NA,890.1411,0,0
"576",2010,53,NA,842.7788,0,0
"577",2011,53,NA,-76.70459,0,0
"578",2012,53,NA,570.1248,0,0
"579",2013,53,NA,-155.5865,0,1
"580",2014,53,NA,-139.5557,0,1
"581",2015,53,NA,-555.4567,0,1
"582",2016,53,NA,-1190.707,0,1
"583",2017,53,NA,-1084.012,0,1
"584",2007,54,NA,958.6399,0,0
"585",2008,54,NA,964.4961,0,0
"586",2009,54,NA,1199.11,0,0
"587",2010,54,NA,873.9705,0,0
"588",2011,54,NA,138.4104,0,0
"589",2012,54,NA,418.3865,0,0
"590",2013,54,NA,-282.0851,0,1
"591",2014,54,NA,-131.8979,0,1
"592",2015,54,NA,-517.8741,0,1
"593",2016,54,NA,-1183.493,0,1
"594",2017,54,NA,-1009.752,0,1
"595",2007,55,NA,1147.349,0,0
"596",2008,55,NA,823.0159,0,0
"597",2009,55,NA,1059.499,0,0
"598",2010,55,NA,1100.872,0,0
"599",2011,55,NA,100.1207,0,0
"600",2012,55,NA,382.9473,0,0
"601",2013,55,NA,-200.7572,0,1
"602",2014,55,NA,-266.8547,0,1
"603",2015,55,NA,-611.3634,0,1
"604",2016,55,NA,-1288.969,0,1
"605",2017,55,NA,-1146.628,0,1
"606",2007,56,NA,1195.341,0,0
"607",2008,56,NA,746.8198,0,0
"608",2009,56,NA,980.972,0,0
"609",2010,56,NA,792.5367,0,0
"610",2011,56,NA,22.94592,0,0
"611",2012,56,NA,403.5015,0,0
"612",2013,56,NA,-220.2391,0,1
"613",2014,56,NA,-308.4355,0,1
"614",2015,56,NA,-607.7644,0,1
"615",2016,56,NA,-1164.52,0,1
"616",2017,56,NA,-1008.123,0,1
"617",2007,57,NA,1114.883,0,0
"618",2008,57,NA,647.7905,0,0
"619",2009,57,NA,1065.592,0,0
"620",2010,57,NA,763.9058,0,0
"621",2011,57,NA,59.6759,0,0
"622",2012,57,NA,429.6514,0,0
"623",2013,57,NA,-352.1759,0,1
"624",2014,57,NA,-155.2852,0,1
"625",2015,57,NA,-629.2948,0,1
"626",2016,57,NA,-1140.427,0,1
"627",2017,57,NA,-1035.627,0,1
"628",2007,58,NA,975.161,0,0
"629",2008,58,NA,830.5338,0,0
"630",2009,58,NA,1120.199,0,0
"631",2010,58,NA,722.2321,0,0
"632",2011,58,NA,40.30981,0,0
"633",2012,58,NA,482.5881,0,0
"634",2013,58,NA,-257.8385,0,1
"635",2014,58,NA,-327.7395,0,1
"636",2015,58,NA,-559.026,0,1
"637",2016,58,NA,-1056.131,0,1
"638",2017,58,NA,-1075.611,0,1
"639",2007,59,NA,916.9661,0,0
"640",2008,59,NA,698.5504,0,0
"641",2009,59,NA,974.7047,0,0
"642",2010,59,NA,856.8418,0,0
"643",2011,59,NA,132.2089,0,0
"644",2012,59,NA,290.2202,0,0
"645",2013,59,NA,-262.1577,0,1
"646",2014,59,NA,-14.11768,0,1
"647",2015,59,NA,-436.0532,0,1
"648",2016,59,NA,-1078.63,0,1
"649",2017,59,NA,-974.8992,0,1
"650",2007,60,NA,1076.718,0,0
"651",2008,60,NA,857.4668,0,0
"652",2009,60,NA,1068.104,0,0
"653",2010,60,NA,688.7059,0,0
"654",2011,60,NA,84.44604,0,0
"655",2012,60,NA,406.4768,0,0
"656",2013,60,NA,-272.6085,0,1
"657",2014,60,NA,-125.0933,0,1
"658",2015,60,NA,-489.1532,0,1
"659",2016,60,NA,-1188.791,0,1
"660",2017,60,NA,-1014.515,0,1
"661",2007,61,NA,990.8625,0,0
"662",2008,61,NA,799.2839,0,0
"663",2009,61,NA,976.2998,0,0
"664",2010,61,NA,992.1777,0,0
"665",2011,61,NA,65.83203,0,0
"666",2012,61,NA,344.1433,0,0
"667",2013,61,NA,-169.1051,0,1
"668",2014,61,NA,-241.6899,0,1
"669",2015,61,NA,-463.5197,0,1
"670",2016,61,NA,-1257.08,0,1
"671",2017,61,NA,-1009.002,0,1
"672",2007,62,NA,891.3235,0,0
"673",2008,62,NA,701.1964,0,0
"674",2009,62,NA,1136.477,0,0
"675",2010,62,NA,765.561,0,0
"676",2011,62,NA,-54.00769,0,0
"677",2012,62,NA,378.7544,0,0
"678",2013,62,NA,-432.0486,0,1
"679",2014,62,NA,-105.3113,0,1
"680",2015,62,NA,-594.7727,0,1
"681",2016,62,NA,-1236.663,0,1
"682",2017,62,NA,-1106.839,0,1
